campaign_id,campaign_url,total_products_count,unique_products_count,brand_name,subcategories,end_date_text,extraction_timestamp
896574,https://es.privalia.com/gr/catalog/896574,196,89,The Time of Bocha The Time of Bocha,"Camisetas, Polos, Camisas, Jerseís y cárdigans, Cinturones, gorras y otros accesorios, Pantalones y bermudas, Bañadores, Sudaderas, Cazadoras y chalecos, Polos, Camisas, Jerseís y cárdigans, Cinturones, gorras y otros accesorios, Pantalones y bermudas, Bañadores, Sudaderas, Cazadoras y chalecos, Polos, Camisas, Jerseís y cárdigans, Cinturones, gorras y otros accesorios, Pantalones y bermudas, Bañadores, Sudaderas, Cazadoras y chalecos, Polos, Camisas, Jerseís y cárdigans, Sudaderas, Cazadoras y chalecos, Pantalones y bermudas, Bañadores, Cinturones, gorras y otros accesorios, Mira todas las categorias","hasta el martes, 7 de abril de 2026 6:00 the time of bocha marca española de moda joven y dinámica. moda para hombres que apuestan por un estilo de vestir único y atemporal. prendas de gran calidad y sencillez para día a día que dejarán expresar la personalidad de los hombres que quieren mostrar su mejor versión con actitud añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
895334,https://es.privalia.com/gr/catalog/895334,276,108,Garvalín,"Sandalias, Garvalín - Niña, Sneakers, Todos los productos disponibles, Biomecanics - Niña, Sandalias, Sneakers, Todos los productos disponibles, Biomecanics - Niño, Sandalias, Sneakers, Todos los productos disponibles, Garvalín - Niño, Sandalias, Sneakers, Todos los productos disponibles, Garvalín - Niña, Sneakers, Todos los productos disponibles, Biomecanics - Niña, Sandalias, Sneakers, Todos los productos disponibles, Biomecanics - Niño, Sandalias, Sneakers, Todos los productos disponibles, Garvalín - Niño, Sandalias, Sneakers, Todos los productos disponibles, Garvalín - Niña, Sneakers, Todos los productos disponibles, Biomecanics - Niña, Sandalias, Sneakers, Todos los productos disponibles, Biomecanics - Niño, Sandalias, Sneakers, Todos los productos disponibles, Garvalín - Niño, Sandalias, Sneakers, Todos los productos disponibles, Garvalín - Niña, Sneakers, Mira todas las categorias","hasta el domingo, 5 de abril de 2026 8:00 garvalín los zapatos de garvalín y biomecanics ofrecen a niños y niñas las alternativas de calidad, confort y diseño que todos los padres desean para sus hijos. añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
899846,https://es.privalia.com/gr/catalog/899846,119,95,Manicura semipermanente,"Kits de inicio, Spring vibes, Esmaltes semipermanentes (sin TPO), Packs, Rojo, rosa y malva, Amarillo y naranja, Nude, marrón y beige, Verde y azul, Negro, gris y blanco, Efecto cat eyes, Todos los productos disponibles, Sets de esmaltes de uñas, Base, top, efecto y jelly coats, Base y top coats, Efecto y jelly coats, Todos los productos disponibles, Pegatinas de gel, Uñas adhesivas, Lámparas LED, Preparación y quitaesmaltes, Cuidado de las uñas, Accesorios y herramientas de nail art, Calendario de adviento, Spring vibes, Esmaltes semipermanentes (sin TPO), Packs, Rojo, rosa y malva, Amarillo y naranja, Nude, marrón y beige, Verde y azul, Negro, gris y blanco, Efecto cat eyes, Todos los productos disponibles, Sets de esmaltes de uñas, Base, top, efecto y jelly coats, Base y top coats, Efecto y jelly coats, Todos los productos disponibles, Pegatinas de gel, Uñas adhesivas, Lámparas LED, Preparación y quitaesmaltes, Cuidado de las uñas, Accesorios y herramientas de nail art, Calendario de adviento, Todos los productos disponibles, Spring vibes, Esmaltes semipermanentes (sin TPO), Packs, Rojo, rosa y malva, Amarillo y naranja, Nude, marrón y beige, Verde y azul, Negro, gris y blanco, Efecto cat eyes, Todos los productos disponibles, Sets de esmaltes de uñas, Base, top, efecto y jelly coats, Base y top coats, Efecto y jelly coats, Todos los productos disponibles, Pegatinas de gel, Uñas adhesivas, Lámparas LED, Preparación y quitaesmaltes, Cuidado de las uñas, Accesorios y herramientas de nail art, Calendario de adviento, Todos los productos disponibles, Pink Gellac, Spring vibes, Esmaltes semipermanentes (sin TPO), Sets de esmaltes de uñas, Base, top, efecto y jelly coats, Pegatinas de gel, Uñas adhesivas, Lámparas LED, Preparación y quitaesmaltes, Cuidado de las uñas, Accesorios y herramientas de nail art, Calendario de adviento, Mira todas las categorias","hasta el lunes, 6 de abril de 2026 6:00 manicura semipermanente ¿ya eres fanática del esmalte semipermanente para uñas? pink gellac tiene todo lo que necesitas para crear tu propio salón de belleza en casa: lámparas, los colores más bonitos para esmaltes semipermanentes y productos para el cuidado de las uñas. el resultado: uñas brillantes y cuidadas durante 14 días. ¡prepárate para brillar! añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
900911,https://es.privalia.com/gr/catalog/900911,256,116,"Puma Ropa interior y calcetines para hombres, mujeres y niños.","Packs de bóxers y slips, Hombre, Ropa de baño, Camisetas y camisetas de tirantes, Todos los productos disponibles, Calcetines unisex, Puma, Head Performance, Todos los productos disponibles, Niño, Unisex - calcetines, Niño - bóxers y shorts de baño, Niña - ropa de baño, Todos los productos disponibles, Mujer, Lencería, Ropa de baño, Todos los productos disponibles, Hombre, Ropa de baño, Camisetas y camisetas de tirantes, Todos los productos disponibles, Calcetines unisex, Puma, Head Performance, Todos los productos disponibles, Niño, Unisex - calcetines, Niño - bóxers y shorts de baño, Niña - ropa de baño, Todos los productos disponibles, Mujer, Lencería, Ropa de baño, Todos los productos disponibles, Hombre, Ropa de baño, Camisetas y camisetas de tirantes, Todos los productos disponibles, Calcetines unisex, Puma, Head Performance, Todos los productos disponibles, Niño, Unisex - calcetines, Niño - bóxers y shorts de baño, Niña - ropa de baño, Todos los productos disponibles, Mujer, Lencería, Ropa de baño, Todos los productos disponibles, Hombre, Ropa de baño, Camisetas y camisetas de tirantes, Mira todas las categorias","hasta el lunes, 6 de abril de 2026 6:00 ropa interior y calcetines para hombres, mujeres y niños. puma: la marca deportiva más rápida del mundo. ropa, calzado y accesorios para mujer, hombre y niños. añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
896491,https://es.privalia.com/gr/catalog/896491,280,196,Champion Ropa deportiva y zapatos para toda la familia.,"Camisetas, polos y camisetas de tirantes, Hombre, Sudaderas con capucha, Pantalones jogger, Sudaderas sin capucha, Shorts y bañadores, Todos los productos disponibles, Infantil, Niño - sudaderas y chaquetas, Niño - pantalones y bermudas, Niño - camisetas y camisetas de tirantes, Niña - sudaderas y camisetas, Niña - pantalones, leggings y monos, Todos los productos disponibles, Calzado y accesorios, Mochilas, gorros y calcetines, Junior y bebé - de 22 a 42, Hombre - del 36 al 47, Mujer - del 36 al 42, Todos los productos disponibles, Mujer, Pantalones jogger, shorts y leggings, Camisetas, jerséis y tops, Sudaderas y chaquetas, Todos los productos disponibles, Hombre, Sudaderas con capucha, Pantalones jogger, Sudaderas sin capucha, Shorts y bañadores, Todos los productos disponibles, Infantil, Niño - sudaderas y chaquetas, Niño - pantalones y bermudas, Niño - camisetas y camisetas de tirantes, Niña - sudaderas y camisetas, Niña - pantalones, leggings y monos, Todos los productos disponibles, Calzado y accesorios, Mochilas, gorros y calcetines, Junior y bebé - de 22 a 42, Hombre - del 36 al 47, Mujer - del 36 al 42, Todos los productos disponibles, Mujer, Pantalones jogger, shorts y leggings, Camisetas, jerséis y tops, Sudaderas y chaquetas, Todos los productos disponibles, 2, Hombre, Sudaderas con capucha, Pantalones jogger, Sudaderas sin capucha, Shorts y bañadores, Todos los productos disponibles, Infantil, Niño - sudaderas y chaquetas, Niño - pantalones y bermudas, Niño - camisetas y camisetas de tirantes, Niña - sudaderas y camisetas, Niña - pantalones, leggings y monos, Todos los productos disponibles, Calzado y accesorios, Mochilas, gorros y calcetines, Junior y bebé - de 22 a 42, Hombre - del 36 al 47, Mujer - del 36 al 42, Todos los productos disponibles, Mujer, Pantalones jogger, shorts y leggings, Camisetas, jerséis y tops, Sudaderas y chaquetas, Todos los productos disponibles, Hombre, Sudaderas con capucha, Sudaderas sin capucha, Pantalones jogger, Shorts y bañadores, Mira todas las categorias, 2","hasta el domingo, 5 de abril de 2026 8:00 ropa deportiva y zapatos para toda la familia. la inconfundible personalidad de la marca champion, fundada en 1919, se caracteriza por una auténtica herencia arraigada en el mundo del deporte estadounidense. el éxito de champion se basa en la credibilidad de sus productos de alta calidad y constante innovación, aptos tanto para hombres como para mujeres. añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
897959,https://es.privalia.com/gr/catalog/897959,218,124,New Balance,"Los Clásicos - Lifestyle, Calzado - Adulto, Calzado deportivo y chanclas, Todos los productos disponibles, Calzado - Infantil y Bebé, Velcro y cordones elásticos (del 17 al 40), Cordones (del 28 al 40), Fútbol, Todos los productos disponibles, Accesorios, Calcetines, Mochilas, bolsos y gorras, Todos los productos disponibles, Textil - Mujer, Camisetas, sujetadores deportivos y tops, Pantalones, shorts y leggings, Sudaderas y chaquetas, Todos los productos disponibles, Textil - Hombre, Pantalones y shorts, Camisetas y polos, Sudaderas, chaquetas y chalecos, Todos los productos disponibles, Calzado - Adulto, Calzado deportivo y chanclas, Todos los productos disponibles, Calzado - Infantil y Bebé, Velcro y cordones elásticos (del 17 al 40), Cordones (del 28 al 40), Fútbol, Todos los productos disponibles, Accesorios, Calcetines, Mochilas, bolsos y gorras, Todos los productos disponibles, Textil - Mujer, Camisetas, sujetadores deportivos y tops, Pantalones, shorts y leggings, Sudaderas y chaquetas, Todos los productos disponibles, Textil - Hombre, Pantalones y shorts, Camisetas y polos, Sudaderas, chaquetas y chalecos, Todos los productos disponibles, 2, 3, Calzado - Adulto, Calzado deportivo y chanclas, Todos los productos disponibles, Calzado - Infantil y Bebé, Velcro y cordones elásticos (del 17 al 40), Cordones (del 28 al 40), Fútbol, Todos los productos disponibles, Accesorios, Calcetines, Mochilas, bolsos y gorras, Todos los productos disponibles, Textil - Mujer, Camisetas, sujetadores deportivos y tops, Pantalones, shorts y leggings, Sudaderas y chaquetas, Todos los productos disponibles, Textil - Hombre, Pantalones y shorts, Camisetas y polos, Sudaderas, chaquetas y chalecos, Todos los productos disponibles, Calzado - Adulto, Calzado deportivo y chanclas, Mira todas las categorias, 2, 3","hasta el martes, 7 de abril de 2026 6:00 representamos algo más grande que las zapatillas. representamos a aquellos que se guían por sus pasiones. realzamos el deporte. hacemos lo correcto para las personas y el planeta. juntos, impulsamos un cambio significativo en comunidades de todo el mundo. tenemos el ahora. añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
891607,https://es.privalia.com/gr/catalog/891607,195,117,Geox Descubre las colecciones GEOX para toda la familia,"Sneakers con plataforma y cuña, Mujer - del 35 al 43, Sneakers, Mocasines y bailarinas, Zapatos de salón, zapatos destalonados y sandalias, Botines, Todos los productos disponibles, Hombre - del 39 al 47, Sneakers - sporty, Sneakers - lifestyle, Derbies, mocasines y alpargatas, Todos los productos disponibles, Niño - del 24 al 41, Sneakers con velcro, Sneakers con cordones y sin cordones, Sandalias, Todos los productos disponibles, Niña - del 24 al 41, Bebé niño - del 18 al 27, Bebé niña - del 18 al 27, Hombre - ropa, Mujer - ropa, Mujer - del 35 al 43, Sneakers, Mocasines y bailarinas, Zapatos de salón, zapatos destalonados y sandalias, Botines, Todos los productos disponibles, Hombre - del 39 al 47, Sneakers - sporty, Sneakers - lifestyle, Derbies, mocasines y alpargatas, Todos los productos disponibles, Niño - del 24 al 41, Sneakers con velcro, Sneakers con cordones y sin cordones, Sandalias, Todos los productos disponibles, Niña - del 24 al 41, Bebé niño - del 18 al 27, Bebé niña - del 18 al 27, Hombre - ropa, Mujer - ropa, Mujer - del 35 al 43, Sneakers, Mocasines y bailarinas, Zapatos de salón, zapatos destalonados y sandalias, Botines, Todos los productos disponibles, Hombre - del 39 al 47, Sneakers - sporty, Sneakers - lifestyle, Derbies, mocasines y alpargatas, Todos los productos disponibles, Niño - del 24 al 41, Sneakers con velcro, Sneakers con cordones y sin cordones, Sandalias, Todos los productos disponibles, Niña - del 24 al 41, Bebé niño - del 18 al 27, Bebé niña - del 18 al 27, Hombre - ropa, Mujer - ropa, Mujer - del 35 al 43, Zapatos de salón, zapatos destalonados y sandalias, Mocasines y bailarinas, Sneakers, Botines, Mira todas las categorias","hasta el lunes, 6 de abril de 2026 6:00 descubre las colecciones geox para toda la familia todo comienza con una respiración. muévete con la energía natural que solo el calzado geox puede ofrecerte, gracias a su tecnología transpirable especial. geox es sinónimo de innovación, bienestar y diseño italiano, sin renunciar al máximo nivel de confort. añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
895569,https://es.privalia.com/gr/catalog/895569,265,182,Vans,"Calzado bajo, Calzado - adulto, Calzado alto, Slip-on, Todos los productos disponibles, Calzado - infantil, Calzado alto, Calzado bajo, Slip-on, Todos los productos disponibles, Hombre - ropa, Calcetines, Camisetas y polos, Sudaderas y jerséis, Gorras, sombreros y sombreros de pescador, Chaquetas, parkas y anoraks, Pantalones, pantalones jogging y shorts, Camisas y sobrecamisas, Todos los productos disponibles, Mujer - ropa, Chaquetas, anoraks y parkas, Camisetas, camisas y sujetadores deportivos, Sudaderas, jerseys y chalecos, Calcetines, Pantalones, jeans, vestidos y shorts, Sombreros y gorras, Todos los productos disponibles, Accesorios, Gafas de sol, Bolsas con tiras para ajustar y riñoneras, Otros accesorios, Mochilas y pequeña marroquinería, Todos los productos disponibles, Infantil - ropa y accesorios, Mochilas, Gorras, gorros y calcetines, Sudaderas, cortavientos y chaquetas, Camisetas, Pantalones, pantalones jogging y shorts, Todos los productos disponibles, Calzado - adulto, Calzado alto, Slip-on, Todos los productos disponibles, Calzado - infantil, Calzado alto, Calzado bajo, Slip-on, Todos los productos disponibles, Hombre - ropa, Calcetines, Camisetas y polos, Sudaderas y jerséis, Gorras, sombreros y sombreros de pescador, Chaquetas, parkas y anoraks, Pantalones, pantalones jogging y shorts, Camisas y sobrecamisas, Todos los productos disponibles, Mujer - ropa, Chaquetas, anoraks y parkas, Camisetas, camisas y sujetadores deportivos, Sudaderas, jerseys y chalecos, Calcetines, Pantalones, jeans, vestidos y shorts, Sombreros y gorras, Todos los productos disponibles, Accesorios, Gafas de sol, Bolsas con tiras para ajustar y riñoneras, Otros accesorios, Mochilas y pequeña marroquinería, Todos los productos disponibles, Infantil - ropa y accesorios, Mochilas, Gorras, gorros y calcetines, Sudaderas, cortavientos y chaquetas, Camisetas, Pantalones, pantalones jogging y shorts, Todos los productos disponibles, 2, 3, Calzado - adulto, Calzado alto, Slip-on, Todos los productos disponibles, Calzado - infantil, Calzado alto, Calzado bajo, Slip-on, Todos los productos disponibles, Hombre - ropa, Calcetines, Camisetas y polos, Sudaderas y jerséis, Gorras, sombreros y sombreros de pescador, Chaquetas, parkas y anoraks, Pantalones, pantalones jogging y shorts, Camisas y sobrecamisas, Todos los productos disponibles, Mujer - ropa, Chaquetas, anoraks y parkas, Camisetas, camisas y sujetadores deportivos, Sudaderas, jerseys y chalecos, Calcetines, Pantalones, jeans, vestidos y shorts, Sombreros y gorras, Todos los productos disponibles, Accesorios, Gafas de sol, Bolsas con tiras para ajustar y riñoneras, Otros accesorios, Mochilas y pequeña marroquinería, Todos los productos disponibles, Infantil - ropa y accesorios, Mochilas, Gorras, gorros y calcetines, Sudaderas, cortavientos y chaquetas, Camisetas, Pantalones, pantalones jogging y shorts, Todos los productos disponibles, Calzado - adulto, Calzado alto, Slip-on, Mira todas las categorias, 2, 3","hasta el lunes, 6 de abril de 2026 6:00 c’est en 1966 que la van doren rubber company ouvre ses portes à anaheim en californie. la chaussure en toile vans devient rapidement un modèle incontournable des plages et de toute la californie du sud. aujourd'hui vans représente toujours le style de la scène skate et surf... añadir a mis favoritos y recibir una alerta",2026-04-04 22:00:05
903842,https://es.privalia.com/gr/catalog/903842,379,283,Moda y calzado,"Camisetas, chaquetas y abrigos, Promod, Vestidos y monos, Faldas, vaqueros y pantalones, Zapatos y accesorios, Todos los productos disponibles, New Balance, Calzado - Infantil y Bebé, Calzado Lifestyle - Unisex y Hombre, Calcetines y accesorios, Calzado Lifestyle - Mujer, Calzado Running, trekking y trail - Unisex y Hombre, Ropa - hombre, Ropa - mujer, Calzado Running, trekking y trail - Mujer, Calzado Fútbol y baloncesto - Unisex y Hombre, Todos los productos disponibles, Rinascimento, Vestidos y monos, Faldas, vaqueros y pantalones, Blazers, chaquetas y abrigos, Blusas, camisas y tops, Jerséis, cárdigans y suéteres, Zapatos, accesorios y ropa interior, Napapijri, Columbia, Comptoir des Cotonniers, Kipling, Baldinini, Lego®, Playtex, Darjeeling, Promod, Vestidos y monos, Faldas, vaqueros y pantalones, Zapatos y accesorios, Todos los productos disponibles, New Balance, Calzado - Infantil y Bebé, Calzado Lifestyle - Unisex y Hombre, Calcetines y accesorios, Calzado Lifestyle - Mujer, Calzado Running, trekking y trail - Unisex y Hombre, Ropa - hombre, Ropa - mujer, Calzado Running, trekking y trail - Mujer, Calzado Fútbol y baloncesto - Unisex y Hombre, Todos los productos disponibles, Rinascimento, Vestidos y monos, Faldas, vaqueros y pantalones, Blazers, chaquetas y abrigos, Blusas, camisas y tops, Jerséis, cárdigans y suéteres, Zapatos, accesorios y ropa interior, Napapijri, Columbia, Comptoir des Cotonniers, Kipling, Baldinini, Lego®, Playtex, Darjeeling, 2, 3, Promod, Vestidos y monos, Faldas, vaqueros y pantalones, Zapatos y accesorios, Todos los productos disponibles, New Balance, Calzado - Infantil y Bebé, Calzado Lifestyle - Unisex y Hombre, Calcetines y accesorios, Calzado Lifestyle - Mujer, Calzado Running, trekking y trail - Unisex y Hombre, Ropa - hombre, Ropa - mujer, Calzado Running, trekking y trail - Mujer, Calzado Fútbol y baloncesto - Unisex y Hombre, Todos los productos disponibles, Rinascimento, Vestidos y monos, Faldas, vaqueros y pantalones, Blazers, chaquetas y abrigos, Blusas, camisas y tops, Jerséis, cárdigans y suéteres, Zapatos, accesorios y ropa interior, Napapijri, Columbia, Comptoir des Cotonniers, Kipling, Baldinini, Lego®, Playtex, Darjeeling, Promod, Vestidos y monos, Faldas, vaqueros y pantalones, Zapatos y accesorios, Mira todas las categorias, 2, 3","hasta el sábado, 11 de abril de 2026 8:00 moda y calzado spring camp es la cita imperdible de veepee / privalia para esta primavera. el lugar perfecto para encontrar tus marcas favoritas con descuentos de hasta un -80 %. cada día se abre una nueva venta, lo que supone nuevas oportunidades para darte un capricho y descubrir las mejores ofertas.",2026-04-04 22:00:05
901043,https://es.privalia.com/gr/catalog/901043,253,156,HOFF,"Sneakers - City, Mujer, Sandalias, Sneakers - Otros modelos, Sneakers - Skyline y Tribe, Sneakers - Track & field, Sneakers - State y Metro, Bailarinas y mocasines, Botines, Todos los productos disponibles, Hombre, Sneakers - City, Sneakers - Track & field, Sneakers - State, Sneakers - Metro, Sneakers - Otros modelos, Todos los productos disponibles, Mujer, Sandalias, Sneakers - Otros modelos, Sneakers - Skyline y Tribe, Sneakers - Track & field, Sneakers - State y Metro, Bailarinas y mocasines, Botines, Todos los productos disponibles, Hombre, Sneakers - City, Sneakers - Track & field, Sneakers - State, Sneakers - Metro, Sneakers - Otros modelos, Todos los productos disponibles, Mujer, Sandalias, Sneakers - Otros modelos, Sneakers - Skyline y Tribe, Sneakers - Track & field, Sneakers - State y Metro, Bailarinas y mocasines, Botines, Todos los productos disponibles, Hombre, Sneakers - City, Sneakers - Track & field, Sneakers - State, Sneakers - Metro, Sneakers - Otros modelos, Todos los productos disponibles, Mujer, Sneakers - Skyline y Tribe, Sneakers - State y Metro, Sneakers - Track & field, Sneakers - Otros modelos, Sandalias, Bailarinas y mocasines, Botines, Mira todas las categorias","hasta el lunes, 13 de abril de 2026 6:00 hoff descubre la creatividad urbana y el estilo moderno de hoff. perfectas para quienes buscan moda, confort y diseños exclusivos",2026-04-04 22:00:05
